#Study : CKbyEmotion
#Date : 20191217 16:25:44
#Version : 7.2.15327.0
#TestRunDate : 20191217 16:17:22.289 (+02:00)

StudyName	ExportDate	Name	Age	Gender	StimulusName	SlideType	EventSource	Timestamp	MediaTime	PostMarker	Annotation	version	Number of faces	width	height	FrameIndex	faceid	#classifiers	Brow Furrow	Brow Raise	Engagement	Lip Corner Depressor	Smile	Valence	Attention	Interocular Distance	Pitch	Yaw	Roll	InnerBrowRaise	EyeClosure	NoseWrinkle	UpperLipRaise	LipSuck	LipPress	MouthOpen	ChinRaise	Smirk	LipPucker	Anger	Sadness	Disgust	Joy	Surprise	Fear	Contempt	Cheek Raise	Dimpler	Eye Widen	Lid Tighten	Lip Stretch	Jaw Drop	LiveMarker	KeyStroke	MarkerText	SceneType	SceneOutput	SceneParent
CKbyEmotion	20191217	S130-anger	0	MALE	FaceRecording-1	TestImage	AffRaw	20191217_161722369	80			4	1	640	490	0	0	34	1.710081	0.0001197426	0.2834769	0.0003116661	0.002509978	0	95.7724	152.7031	-6.747199	6.398298	6.076015	0.2712657	2.244035E-09	0.1035846	0.3495354	0.0001671039	0.008517267	16.20853	0.001326438	2.197442E-05	0.5159345	0.003862724	0.01614599	0.5844766	0.002196769	0.2632265	0.004848684	0.1989021	0.0001363049	0.001118555	0.1052516	0.01008643	0.0004922466	0.1816349						
CKbyEmotion	20191217	S130-anger	0	MALE	FaceRecording-1	TestImage	AffRaw	20191217_161722409	120			4	1	640	490	1	0	34	3.469835	4.005599E-05	0.6604266	0.001250383	0.003552676	0	94.7871	150.7207	-7.725704	7.497517	7.148611	0.27751	4.658914E-09	0.09739928	0.2572528	0.0003306997	0.01219972	26.34237	0.004021996	5.439265E-05	0.4282021	0.006270829	0.01314617	0.6988617	0.00235426	0.3052143	0.005138304	0.2055454	0.0001760756	0.002290299	0.1072261	0.01896623	0.0007413125	0.2075755						
CKbyEmotion	20191217	S130-anger	0	MALE	FaceRecording-1	TestImage	AffRaw	20191217_161722449	160			4	1	640	490	2	0	34	6.316937	6.21314E-05	0.4794439	0.001918703	0.003724733	0	95.21175	150.9455	-8.516591	7.050297	6.874302	0.289084	9.893481E-09	0.1888343	0.4422193	0.0005833589	0.02384758	18.98616	0.006011727	6.629476E-05	0.5123131	0.006217897	0.02081467	0.6215903	0.001709422	0.2140881	0.005654941	0.2167892	0.0002432907	0.004999103	0.09863235	0.01829127	0.0009924574	0.1598212						
CKbyEmotion	20191217	S130-anger	0	MALE	FaceRecording-1	TestImage	AffRaw	20191217_161722489	200			4	1	640	490	3	0	34	11.09696	3.434864E-05	0.7457702	0.001328895	0.003000382	0	95.69353	150.4529	-8.248693	6.494837	6.150779	0.3045754	5.990088E-09	0.2779688	0.5709395	0.0005641668	0.03872965	20.42873	0.008860979	7.479622E-05	0.6463738	0.009712375	0.02842498	0.6464939	0.001283252	0.1666728	0.006627721	0.2370812	0.0002407748	0.006060839	0.08508591	0.02187589	0.001004073	0.1465095						
CKbyEmotion	20191217	S130-anger	0	MALE	FaceRecording-1	TestImage	AffRaw	20191217_161722529	240			4	1	640	490	4	0	34	17.46902	2.912714E-05	0.9931589	0.001480614	0.002272097	0	95.83717	152.2155	-8.13571	6.317714	5.958937	0.3357038	3.92477E-09	0.3743046	0.7075075	0.0005837674	0.03601542	18.10223	0.008294616	7.299251E-05	0.7724222	0.01526609	0.04965919	0.62877	0.0008105045	0.107404	0.008188535	0.2671025	0.0002093761	0.004027315	0.07010187	0.02351188	0.0008785327	0.1457709						
CKbyEmotion	20191217	S130-anger	0	MALE	FaceRecording-1	TestImage	AffRaw	20191217_161722569	280			4	1	640	490	5	0	34	23.24326	2.260742E-05	1.952419	0.002446793	0.001790572	0	95.99587	150.4095	-8.604501	6.115098	7.03442	0.3091984	6.104062E-09	0.3117822	0.5520606	0.0009277478	0.04160871	21.92736	0.01715444	5.249723E-05	0.5017521	0.02809611	0.06724012	0.665832	0.0005953669	0.08363684	0.009922547	0.2975635	0.0001548395	0.003485439	0.0848225	0.02944828	0.0009160102	0.1886917						
CKbyEmotion	20191217	S130-anger	0	MALE	FaceRecording-1	TestImage	AffRaw	20191217_161722609	320			4	1	640	490	6	0	34	28.12578	2.010872E-05	2.080415	0.00204194	0.001283842	0	95.14394	151.0414	-8.860474	7.124184	6.820133	0.2950385	6.2175E-09	0.3122639	0.5104294	0.0007695875	0.04793555	17.95211	0.0178325	6.515629E-05	0.4010395	0.03698961	0.1106431	0.6186942	0.0004023159	0.05644907	0.01165674	0.3260103	0.0001168285	0.002921629	0.0608491	0.03152472	0.0008393228	0.1605981						
CKbyEmotion	20191217	S130-anger	0	MALE	FaceRecording-1	TestImage	AffRaw	20191217_161722649	360			4	1	640	490	7	0	34	39.82223	1.69105E-05	4.133125	0.003590702	0.001012279	0	95.74894	150.7787	-8.8073	6.427189	7.106782	0.3278901	3.927106E-09	0.4416049	0.5615394	0.001055904	0.06432928	16.1628	0.02658676	4.288649E-05	0.3356043	0.09219861	0.2824737	0.6072863	0.0001811048	0.02678881	0.01720781	0.405636	9.574973E-05	0.002662467	0.05629382	0.03452345	0.0007077063	0.1734345						
CKbyEmotion	20191217	S130-anger	0	MALE	FaceRecording-1	TestImage	AffRaw	20191217_161722689	400			4	1	640	490	8	0	34	58.67104	1.007305E-05	12.05942	0.005330008	0.0006939374	-6.527267	94.29933	151.7168	-8.589801	7.970551	5.77153	0.4159764	7.47931E-09	0.7531952	0.726677	0.001100012	0.04015205	13.51355	0.03449117	3.174463E-05	0.3087865	0.4034202	1.264534	0.5993218	5.025537E-05	0.008103152	0.03227244	0.5766156	7.21567E-05	0.001999228	0.04244646	0.04205862	0.0005408533	0.1544007						
CKbyEmotion	20191217	S130-anger	0	MALE	FaceRecording-1	TestImage	AffRaw	20191217_161722729	440			4	1	640	490	9	0	34	74.62067	7.964839E-06	29.62226	0.009910973	0.0005686723	-12.4201	95.00176	150.946	-9.001897	7.275948	5.614858	0.4130864	5.75445E-09	1.240857	0.931825	0.001395244	0.03547293	13.26441	0.0548782	3.184018E-05	0.2773841	1.495542	4.097136	0.6284885	1.761218E-05	0.003092133	0.05488576	0.7760624	6.619589E-05	0.001838777	0.03758608	0.04867999	0.0005126991	0.1479422						
