#Study : CKbyEmotion
#Date : 20191217 17:25:43
#Version : 7.2.15327.0
#TestRunDate : 20191217 16:29:46.201 (+02:00)

StudyName	ExportDate	Name	Age	Gender	StimulusName	SlideType	EventSource	Timestamp	MediaTime	PostMarker	Annotation	version	Number of faces	width	height	FrameIndex	faceid	#classifiers	Brow Furrow	Brow Raise	Engagement	Lip Corner Depressor	Smile	Valence	Attention	Interocular Distance	Pitch	Yaw	Roll	InnerBrowRaise	EyeClosure	NoseWrinkle	UpperLipRaise	LipSuck	LipPress	MouthOpen	ChinRaise	Smirk	LipPucker	Anger	Sadness	Disgust	Joy	Surprise	Fear	Contempt	Cheek Raise	Dimpler	Eye Widen	Lid Tighten	Lip Stretch	Jaw Drop	LiveMarker	KeyStroke	MarkerText	SceneType	SceneOutput	SceneParent
CKbyEmotion	20191217	S154-contempt	0	MALE	FaceRecording-1	TestImage	AffRaw	20191217_162946281	80			4	1	640	480	0	0	34	0.3133491	4.705009E-05	0.1560452	0.0004756137	0.001722495	0	97.14903	150.35	0.8098595	4.357059	1.752797	0.4674469	1.761134E-10	0.001055301	0.0007059227	0.001307007	0.01539907	9.229598	0.01319159	0.0002237906	0.06396507	0.002703069	0.01864957	0.5033056	0.002119954	0.2417366	0.004579823	0.1937862	2.227877E-05	0.003418008	0.006351947	0.01301173	0.0006475926	0.2994777						
CKbyEmotion	20191217	S154-contempt	0	MALE	FaceRecording-1	TestImage	AffRaw	20191217_162946321	120			4	1	640	480	1	0	34	0.1925541	2.601162E-05	0.1411178	0.001117346	0.004383558	0	98.11378	156.3234	-0.6462192	2.242218	1.78122	0.3365597	2.862987E-11	0.001508432	0.00103575	0.003085594	0.01529696	7.940586	0.0132877	0.0001798375	0.07235159	0.002576681	0.01911572	0.4915982	0.002088197	0.2353432	0.00455002	0.1933092	5.499794E-05	0.008161259	0.0153509	0.01039539	0.001925328	0.3314229						
CKbyEmotion	20191217	S154-contempt	0	MALE	FaceRecording-1	TestImage	AffRaw	20191217_162946361	160			4	1	640	480	2	0	34	0.1497827	1.902597E-05	0.1858512	0.0008460525	0.006775306	0	97.71078	155.2318	-3.129781	3.23098	2.066075	0.2400414	7.078664E-12	0.00101848	0.0007168602	0.002770976	0.01222633	11.84455	0.01177713	0.0002967066	0.1026722	0.002935907	0.01662634	0.5274655	0.002248968	0.2592727	0.004538908	0.1931224	7.135257E-05	0.009371988	0.005260179	0.01215235	0.001482678	0.2784981						
CKbyEmotion	20191217	S154-contempt	0	MALE	FaceRecording-1	TestImage	AffRaw	20191217_162946401	200			4	1	640	480	3	0	34	0.1063994	2.043226E-05	0.1889364	0.0004818225	0.008154164	0	97.9941	154.2675	-2.878371	2.555912	2.184621	0.2455714	8.502842E-12	0.0007314668	0.0005336476	0.003114382	0.01597466	12.11886	0.008907337	0.0007433354	0.1267483	0.002951107	0.01642454	0.5300145	0.002267151	0.2617683	0.004532489	0.1929549	8.719725E-05	0.01408562	0.005711636	0.0113202	0.002531876	0.2799243						
CKbyEmotion	20191217	S154-contempt	0	MALE	FaceRecording-1	TestImage	AffRaw	20191217_162946441	240			4	1	640	480	4	0	34	0.1240505	1.538137E-05	0.2293346	0.0002847213	0.01316091	0	97.45203	154.3118	-3.217937	3.779666	2.903719	0.2501033	1.005344E-11	0.0008083177	0.000544368	0.002898647	0.01816069	14.81968	0.005334152	0.001453497	0.1144922	0.00323215	0.01502929	0.5563712	0.002380458	0.2794548	0.004541818	0.1929609	0.0001371228	0.01630223	0.006230718	0.0112009	0.002775059	0.2299716						
CKbyEmotion	20191217	S154-contempt	0	MALE	FaceRecording-1	TestImage	AffRaw	20191217_162946481	280			4	1	640	480	5	0	34	0.1406015	2.081506E-05	0.2284468	0.0002475294	0.01379729	0	98.00938	153.7302	-3.095977	2.516924	1.745593	0.2854508	2.360273E-11	0.0007963477	0.0005122192	0.003765519	0.02198001	14.7487	0.004344398	0.002903074	0.09998146	0.003224066	0.01511657	0.555606	0.002375061	0.2786915	0.00455298	0.1930411	0.000143948	0.02801298	0.007744153	0.01116233	0.004459844	0.1950958						
CKbyEmotion	20191217	S154-contempt	0	MALE	FaceRecording-1	TestImage	AffRaw	20191217_162946521	320			4	1	640	480	6	0	34	0.115135	1.907412E-05	0.2032378	0.0001608895	0.01498133	0	97.78719	153.9384	-2.083982	3.057373	2.458408	0.3143597	4.832723E-11	0.0005806415	0.0003615395	0.004401831	0.02403221	13.13366	0.00319139	0.003632614	0.08706399	0.003044635	0.01595094	0.5395404	0.002310629	0.2680837	0.004556008	0.1929469	0.0001542573	0.04764273	0.007480071	0.01066856	0.007179602	0.1630758						
CKbyEmotion	20191217	S154-contempt	0	MALE	FaceRecording-1	TestImage	AffRaw	20191217_162946561	360			4	1	640	480	7	0	34	0.110675	2.068242E-05	0.1635115	0.0001389233	0.01960891	0	97.67316	153.8961	-2.338679	3.314428	1.421846	0.3213842	4.420905E-11	0.0004978211	0.0002755974	0.007006133	0.03942449	10.08765	0.002992669	0.004841477	0.08939102	0.002747971	0.01764685	0.510395	0.002188438	0.2485496	0.004556277	0.1928887	0.0001952205	0.1160097	0.007560677	0.01039507	0.01543213	0.1575319						
CKbyEmotion	20191217	S154-contempt	0	MALE	FaceRecording-1	TestImage	AffRaw	20191217_162946601	400			4	1	640	480	8	0	34	0.1225242	2.980811E-05	0.1484971	0.0001464916	0.02555241	0	96.96847	153.9166	-3.762963	4.673422	1.325793	0.2997883	2.16235E-11	0.0005885592	0.0003029588	0.0104441	0.07918903	8.725238	0.002672617	0.005877941	0.08565827	0.002629904	0.0184365	0.4977029	0.002135316	0.2398294	0.004560415	0.192867	0.0002707516	0.2237046	0.006464477	0.01052373	0.03135659	0.1281204						
CKbyEmotion	20191217	S154-contempt	0	MALE	FaceRecording-1	TestImage	AffRaw	20191217_162946641	440			4	1	640	480	9	0	34	0.1313295	2.464232E-05	0.1266332	0.0001478124	0.03744894	0	97.4197	154.9728	-3.107291	3.844383	1.830079	0.3060007	1.301236E-11	0.0008014187	0.000326693	0.01429192	0.1344711	6.483577	0.002875106	0.006760431	0.08934064	0.002439786	0.01985282	0.4774697	0.002052849	0.2266789	0.004562682	0.192745	0.0004051281	0.4547221	0.006171083	0.01053144	0.06312958	0.1242855						
CKbyEmotion	20191217	S154-contempt	0	MALE	FaceRecording-1	TestImage	AffRaw	20191217_162946681	480			4	1	640	480	10	0	34	0.1226505	2.744466E-05	0.113529	0.0001284664	0.03663937	0	97.40218	153.5841	-3.799055	3.879115	1.693133	0.2972824	1.38713E-11	0.0008184208	0.000283004	0.01696058	0.1896542	4.96111	0.002576376	0.007222959	0.07869477	0.002318294	0.02084156	0.4644575	0.001997672	0.2182106	0.004567104	0.1927348	0.0004179144	0.6305401	0.005953177	0.01005294	0.08855454	0.1022112						
CKbyEmotion	20191217	S154-contempt	0	MALE	FaceRecording-1	TestImage	AffRaw	20191217_162946721	520			4	1	640	480	11	0	34	0.1171949	2.859238E-05	0.1061319	0.0001335032	0.04540602	0	97.12383	153.6786	-3.596468	4.402379	1.518564	0.3136338	3.725844E-11	0.0007918705	0.000240787	0.02045988	0.2763318	4.022266	0.002533289	0.008315855	0.07877421	0.002243033	0.02147399	0.4562977	0.001967385	0.2132997	0.004571937	0.1926111	0.0005177507	1.086197	0.005619274	0.01028072	0.1525383	0.102658						
CKbyEmotion	20191217	S154-contempt	0	MALE	FaceRecording-1	TestImage	AffRaw	20191217_162946761	560			4	1	640	480	12	0	34	0.1126419	3.102259E-05	0.1030576	0.0001328152	0.05462484	0	97.03284	153.6513	-3.651467	4.562781	1.846852	0.3102724	1.054835E-10	0.0008629985	0.0002323466	0.025275	0.4172576	3.614865	0.002424293	0.01318137	0.07480055	0.002210958	0.02168974	0.452573	0.001956397	0.2111557	0.004572805	0.1925612	0.0006238063	1.38778	0.004761109	0.01089694	0.187349	0.0958117						
