#Study : CKbyEmotion
#Date : 20191217 20:50:00
#Version : 7.2.15327.0
#TestRunDate : 20191217 19:48:27.342 (+02:00)

StudyName	ExportDate	Name	Age	Gender	StimulusName	SlideType	EventSource	Timestamp	MediaTime	PostMarker	Annotation	version	Number of faces	width	height	FrameIndex	faceid	#classifiers	Brow Furrow	Brow Raise	Engagement	Lip Corner Depressor	Smile	Valence	Attention	Interocular Distance	Pitch	Yaw	Roll	InnerBrowRaise	EyeClosure	NoseWrinkle	UpperLipRaise	LipSuck	LipPress	MouthOpen	ChinRaise	Smirk	LipPucker	Anger	Sadness	Disgust	Joy	Surprise	Fear	Contempt	Cheek Raise	Dimpler	Eye Widen	Lid Tighten	Lip Stretch	Jaw Drop	LiveMarker	KeyStroke	MarkerText	SceneType	SceneOutput	SceneParent
CKbyEmotion	20191217	S122-surprise	0	MALE	FaceRecording-1	TestImage	AffRaw	20191217_194827422	80			4	1	640	490	0	0	34	0.1288247	3.999393E-06	0.08009315	0.0007472214	0.003078881	0	98.711	151.9977	-8.089698	0.3083656	0.6701983	0.1184567	7.077911E-11	0.0001479456	1.531724E-05	0.0206995	0.01452002	0.06609748	0.009950631	0.001812366	0.008288504	0.002036313	0.02438224	0.4262899	0.001816824	0.1922291	0.004558276	0.1931311	2.958179E-05	0.008011282	0.002259325	0.4754203	0.002949557	0.06857684						
CKbyEmotion	20191217	S122-surprise	0	MALE	FaceRecording-1	TestImage	AffRaw	20191217_194827462	120			4	1	640	490	1	0	34	0.1098218	6.627043E-06	0.08401437	0.0009655938	0.01891613	0	98.38585	150.2229	-8.82062	1.44954	1.49982	0.1067976	2.627387E-10	0.004321033	0.001162141	0.1001087	0.02719865	0.7548145	0.03514458	0.002968428	0.01961999	0.002065429	0.02371609	0.4296352	0.001846787	0.1962763	0.004528597	0.1928574	0.0003393407	0.008597868	0.001169425	0.3433005	0.005649621	0.2066739						
CKbyEmotion	20191217	S122-surprise	0	MALE	FaceRecording-1	TestImage	AffRaw	20191217_194827502	160			4	1	640	490	2	0	34	0.06611113	2.08804E-05	0.09948949	0.000709002	0.01566648	0	98.52809	149.9177	-8.022669	0.9810801	-0.2864238	0.06824544	2.642348E-10	0.002506488	0.001609335	0.03836415	0.02114474	3.167594	0.02111458	0.00238077	0.0159809	0.002226596	0.02178419	0.450171	0.001934102	0.2084548	0.004534672	0.1927346	0.000260859	0.006401292	0.002783373	0.2739425	0.003507643	0.1133377						
CKbyEmotion	20191217	S122-surprise	0	MALE	FaceRecording-1	TestImage	AffRaw	20191217_194827542	200			4	1	640	490	3	0	34	0.04853224	5.583213E-05	0.1017437	0.0006937468	0.009281902	0	98.08601	150.8811	-7.567607	2.316735	0.9823418	0.07959472	7.423703E-11	0.002398361	0.00210598	0.02240023	0.02690155	3.499156	0.04056341	0.001877146	0.02207798	0.002243841	0.02154174	0.4533166	0.001946	0.2109571	0.004519511	0.192753	0.0001885484	0.006256523	0.008040029	0.2374958	0.002908708	0.2299564						
CKbyEmotion	20191217	S122-surprise	0	MALE	FaceRecording-1	TestImage	AffRaw	20191217_194827582	240			4	1	640	490	4	0	34	0.0816211	0.000119817	0.1632712	0.0009906049	0.003287462	0	97.74858	153.1162	-5.909627	3.145819	1.72868	0.09375129	6.478922E-11	0.002099715	0.002242147	0.01214204	0.04616329	10.09607	0.03716298	0.0008167043	0.1066432	0.0027989	0.01734502	0.5112393	0.002187084	0.2513953	0.004441446	0.1929372	5.847436E-05	0.007195126	0.02340506	0.2091357	0.001831589	0.8499244						
CKbyEmotion	20191217	S122-surprise	0	MALE	FaceRecording-1	TestImage	AffRaw	20191217_194827622	280			4	1	640	490	5	0	34	0.1019886	0.0002953022	0.4187508	0.001142372	0.004735981	0	96.32411	151.7247	-5.561002	5.67038	1.520778	0.1909378	3.406503E-11	0.006383474	0.008107882	0.01076689	0.06202107	23.29767	0.04475811	0.0003817213	0.9761427	0.004330698	0.0112403	0.6494448	0.002777331	0.3880069	0.003758448	0.192981	0.0001067557	0.009118767	0.06768974	0.187584	0.001307351	6.057628						
CKbyEmotion	20191217	S122-surprise	0	MALE	FaceRecording-1	TestImage	AffRaw	20191217_194827662	320			4	1	640	490	6	0	34	0.08567272	0.004743873	0.4367735	0.001264515	0.004439722	0	96.46521	151.5301	-3.223549	5.467359	2.425183	0.4842844	4.313193E-11	0.00620927	0.01140347	0.01624141	0.163412	23.90646	0.09112395	0.0002847342	6.498032	0.004354215	0.01105939	0.65647	0.002810698	0.563062	0.002192907	0.1929243	0.0001168288	0.01571534	0.4396173	0.1661851	0.001153046	23.46353						
CKbyEmotion	20191217	S122-surprise	0	MALE	FaceRecording-1	TestImage	AffRaw	20191217_194827702	360			4	1	640	490	7	0	34	0.03190637	0.1668951	0.6047221	0.001777252	0.003571696	0	97.27966	152.314	-1.175015	4.115826	2.064723	1.1498	2.380724E-10	0.002793995	0.01454782	0.02216504	0.2986366	28.40383	0.1254991	0.000126375	24.44199	0.004845545	0.009335472	0.7117071	0.0030443	1.353382	0.0007635309	0.1927396	7.908403E-05	0.0173467	2.046498	0.1277566	0.001070168	60.05377						
CKbyEmotion	20191217	S122-surprise	0	MALE	FaceRecording-1	TestImage	AffRaw	20191217_194827742	400			4	1	640	490	8	0	34	0.0152995	8.037216	3.200707	0.002493442	0.003536303	0	97.25932	149.3217	-0.2071315	4.154122	1.804565	2.600029	1.687044E-09	0.0004544831	0.006043288	0.04772351	0.6535078	30.87617	0.2221713	0.0001070398	44.23303	0.003204458	0.006663787	0.7428436	0.002463876	3.047161	0.0005676076	0.1926798	7.09841E-05	0.019904	6.459699	0.1023823	0.001109897	75.02705						
CKbyEmotion	20191217	S122-surprise	0	MALE	FaceRecording-1	TestImage	AffRaw	20191217_194827782	440			4	1	640	490	9	0	34	0.01810448	33.10101	54.76615	0.00362386	0.003536839	0	97.19156	148.3846	-0.2994623	4.279745	0.8025019	7.019239	1.37865E-08	0.0004494744	0.008657953	0.07244039	1.556162	37.12229	0.3659567	0.0001433752	69.57616	0.0008273781	0.002574478	0.8305219	0.001215142	17.27558	0.0005468593	0.1926907	7.569048E-05	0.02207475	18.33012	0.1052717	0.001164537	88.90357						
