#Study : ck_happy
#Date : 20201109 13:28:55
#Version : 7.2.17995.2
#TestRunDate : 20201109 13:22:11.963 (+02:00)

StudyName	ExportDate	Name	Age	Gender	StimulusName	SlideType	EventSource	Timestamp	MediaTime	PostMarker	Annotation	version	Number of faces	width	height	FrameIndex	faceid	#classifiers	Brow Furrow	Brow Raise	Engagement	Lip Corner Depressor	Smile	Valence	Attention	Interocular Distance	Pitch	Yaw	Roll	InnerBrowRaise	EyeClosure	NoseWrinkle	UpperLipRaise	LipSuck	LipPress	MouthOpen	ChinRaise	Smirk	LipPucker	Anger	Sadness	Disgust	Joy	Surprise	Fear	Contempt	Cheek Raise	Dimpler	Eye Widen	Lid Tighten	Lip Stretch	Jaw Drop	LiveMarker	KeyStroke	MarkerText	SceneType	SceneOutput	SceneParent
ck_happy	20201109	S057-happy	0	MALE	FaceRecording-1	TestImage	AffRaw	20201109_132212043	80			4	1	640	490	0	0	34	0.01127791	0.1223527	0.1365484	8.581142E-05	0.09642811	0	95.11584	148.6973	-16.47705	7.154517	-3.124388	0.1263395	2.989097E-12	9.107751E-05	9.326661E-05	0.01870551	0.0101975	7.549332	0.0004255799	0.0002150691	0.01813337	0.002494298	0.01673782	0.4847553	0.002121473	0.2427626	0.006231812	0.1913325	0.002680024	0.005709649	3.282337	0.005550983	0.001510615	0.1032197						
ck_happy	20201109	S057-happy	0	MALE	FaceRecording-1	TestImage	AffRaw	20201109_132212083	120			4	1	640	490	1	0	34	0.003212738	0.7888864	0.1022705	8.371192E-05	0.031965	0	95.63437	147.4975	-17.03536	6.566152	-4.672394	0.1158348	2.397587E-12	2.845954E-06	1.1367E-06	0.01552212	0.009511523	2.831175	0.000393738	0.0001735871	0.03789749	0.00206318	0.02048949	0.4470296	0.001886067	0.2193263	0.005130352	0.1922281	0.0002560149	0.005462386	1.523937	0.00766086	0.001498303	0.1122028						
ck_happy	20201109	S057-happy	0	MALE	FaceRecording-1	TestImage	AffRaw	20201109_132212123	160			4	1	640	490	2	0	34	0.002195797	0.5039092	0.09473713	8.007671E-05	0.01511462	0	96.28615	145.6958	-15.33546	5.723724	-5.490138	0.107352	9.90982E-12	5.367089E-07	1.594712E-07	0.02574661	0.01034317	2.043887	0.0006913342	0.0003155287	0.04922441	0.002044327	0.02138629	0.4409676	0.001871641	0.2113527	0.005046176	0.1924699	6.028061E-05	0.008293873	1.248465	0.007590991	0.002499596	0.09629884						
ck_happy	20201109	S057-happy	0	MALE	FaceRecording-1	TestImage	AffRaw	20201109_132212163	200			4	1	640	490	3	0	34	0.001501395	0.6395013	0.09158394	6.640341E-05	0.01301211	0	96.22662	145.9006	-16.10637	5.806334	-4.992809	0.1047159	2.197374E-11	2.515278E-07	5.604215E-08	0.018829	0.01125141	1.433951	0.0007832677	0.0003753965	0.0516564	0.001988869	0.02192626	0.4363331	0.001842254	0.2090742	0.004904778	0.192499	4.186546E-05	0.00894304	1.008854	0.009461732	0.00287873	0.09700606						
ck_happy	20201109	S057-happy	0	MALE	FaceRecording-1	TestImage	AffRaw	20201109_132212203	240			4	1	640	490	4	0	34	0.001820685	0.4418691	0.09183153	7.283479E-05	0.01007278	0	96.64106	145.9018	-15.51879	5.203106	-5.674348	0.1018014	1.109767E-11	2.411093E-07	4.917381E-08	0.02553682	0.01380409	1.669413	0.0009623991	0.0004196967	0.04164361	0.002027053	0.02197002	0.4381321	0.001861228	0.2078827	0.004865302	0.1925434	2.936617E-05	0.01101983	0.8579367	0.008564007	0.003724512	0.08972397						
ck_happy	20201109	S057-happy	0	MALE	FaceRecording-1	TestImage	AffRaw	20201109_132212243	280			4	1	640	490	5	0	34	0.003644863	0.1028697	0.1075576	7.106145E-05	0.01409833	0	96.25706	144.43	-14.90626	5.764243	-5.015464	0.08728086	7.685236E-09	1.117804E-06	2.430593E-07	0.02998984	0.02177289	4.223602	0.00131338	0.0002759196	0.03186253	0.002250094	0.02045173	0.458646	0.001972515	0.2172905	0.004827806	0.192489	5.326792E-05	0.0173291	0.6675985	0.01092311	0.005188162	0.07742894						
ck_happy	20201109	S057-happy	0	MALE	FaceRecording-1	TestImage	AffRaw	20201109_132212283	320			4	1	640	490	6	0	34	0.002818262	0.03255115	0.1038324	4.501735E-05	0.02623361	0	96.60809	145.8811	-15.32439	5.253647	-4.137516	0.06556407	0.006778731	1.660255E-06	3.814622E-07	0.02656246	0.02370639	3.799924	0.001669598	0.0002299192	0.02850637	0.002229726	0.02090608	0.4549775	0.001965894	0.213621	0.004713794	0.1923103	0.0001047145	0.01963604	0.415854	0.03361524	0.006431415	0.07451394						
ck_happy	20201109	S057-happy	0	MALE	FaceRecording-1	TestImage	AffRaw	20201109_132212323	360			4	1	640	490	7	0	34	0.00416456	0.01535501	0.126662	3.500897E-05	0.0722511	0	96.43716	145.2391	-14.82709	5.50832	-4.493585	0.05844109	1.009799	3.323863E-06	6.567923E-07	0.01811645	0.034134	6.602749	0.002114585	0.0004003151	0.02322958	0.002448158	0.01908547	0.4777301	0.002085297	0.2284942	0.004626639	0.1916573	0.0003467471	0.01985453	0.2556299	0.06850447	0.008286054	0.07807164						
ck_happy	20201109	S057-happy	0	MALE	FaceRecording-1	TestImage	AffRaw	20201109_132212363	400			4	1	640	490	8	0	34	0.004856708	0.00728203	0.3672743	3.626787E-05	0.1757051	0	96.50795	144.6263	-14.54576	5.404312	-4.904375	0.05385464	0.005468947	1.914819E-05	3.82497E-06	0.009755741	0.0526302	21.5488	0.002306747	0.001163602	0.02413089	0.004011141	0.01151774	0.6222141	0.002783748	0.3315188	0.004592155	0.1901966	0.0008909839	0.01776826	0.2494821	0.1036638	0.01110048	0.08575488						
ck_happy	20201109	S057-happy	0	MALE	FaceRecording-1	TestImage	AffRaw	20201109_132212403	440			4	1	640	490	9	0	34	0.004581023	0.004550944	3.170549	3.201993E-05	0.5026451	0	97.2037	143.9724	-13.00542	4.257433	-6.089717	0.04656215	1.162315E-05	0.0001021737	1.66425E-05	0.004790375	0.06712135	52.12877	0.002006183	0.002527685	0.01977863	0.010888	0.004066346	1.05753	0.005121162	0.7094708	0.004482498	0.1856241	0.002459878	0.01572144	0.2342375	0.117405	0.01560108	0.1134266						
