#Study : CKbyEmotion
#Date : 20191217 20:50:01
#Version : 7.2.15327.0
#TestRunDate : 20191217 19:31:38.234 (+02:00)

StudyName	ExportDate	Name	Age	Gender	StimulusName	SlideType	EventSource	Timestamp	MediaTime	PostMarker	Annotation	version	Number of faces	width	height	FrameIndex	faceid	#classifiers	Brow Furrow	Brow Raise	Engagement	Lip Corner Depressor	Smile	Valence	Attention	Interocular Distance	Pitch	Yaw	Roll	InnerBrowRaise	EyeClosure	NoseWrinkle	UpperLipRaise	LipSuck	LipPress	MouthOpen	ChinRaise	Smirk	LipPucker	Anger	Sadness	Disgust	Joy	Surprise	Fear	Contempt	Cheek Raise	Dimpler	Eye Widen	Lid Tighten	Lip Stretch	Jaw Drop	LiveMarker	KeyStroke	MarkerText	SceneType	SceneOutput	SceneParent
CKbyEmotion	20191217	S132-sadness	0	MALE	FaceRecording-1	TestImage	AffRaw	20191217_193138314	80			4	1	640	490	0	0	34	0.02511839	9.644384E-07	0.09885408	0.002023102	1.571959	0	97.86438	128.0013	4.877132	2.875862	-1.332923	0.5204529	1.239206E-11	0.01070513	0.004152631	0.005736801	0.007253808	0.2855507	0.009883178	0.000218407	0.01087929	0.00176169	0.02223059	0.3867599	0.002374028	0.1966161	0.004097957	0.171367	0.3094846	0.004754434	5.658776E-06	0.03139641	0.0005489704	0.2127289						
CKbyEmotion	20191217	S132-sadness	0	MALE	FaceRecording-1	TestImage	AffRaw	20191217_193138354	120			4	1	640	490	1	0	34	0.006081734	7.874069E-07	0.1680226	0.0127935	5.289983	0	98.07392	126.8393	3.952737	2.348806	-1.061291	0.577297	1.426252E-11	0.001397052	0.0002303103	0.004898673	0.03860011	0.1502512	0.01381261	0.0003572903	0.02151787	0.001363309	0.01746644	0.3024605	0.00435689	0.1963685	0.003199642	0.129675	0.5960218	0.01373099	1.582176E-05	0.03081294	0.0009753383	0.2047816						
CKbyEmotion	20191217	S132-sadness	0	MALE	FaceRecording-1	TestImage	AffRaw	20191217_193138394	160			4	1	640	490	2	0	34	0.0048389	1.157452E-06	0.2122436	0.01420143	6.928535	1.497564	98.49953	127.5422	3.519911	1.07865	-1.282449	0.5878749	7.123223E-12	0.0007882584	0.0001062052	0.004143367	0.01743675	0.1162005	0.01207675	0.0002777227	0.01480184	0.001220298	0.01569291	0.2715985	0.005693549	0.1964963	0.002863037	0.1146929	0.7086601	0.008706303	2.278712E-05	0.02422673	0.0007230126	0.2656225						
CKbyEmotion	20191217	S132-sadness	0	MALE	FaceRecording-1	TestImage	AffRaw	20191217_193138434	200			4	1	640	490	3	0	34	0.006380614	1.669925E-06	0.1515729	0.01146397	4.567604	0	98.2847	128.8732	3.465833	1.758614	-1.049107	0.5158921	2.791708E-12	0.0007126504	7.858212E-05	0.003591767	0.02064044	0.0845535	0.01215534	0.0003597018	0.01561355	0.001431885	0.01829884	0.3166673	0.003866468	0.1957903	0.003354538	0.1368853	0.5491983	0.0134354	1.814528E-05	0.02632584	0.0009077124	0.2014744						
CKbyEmotion	20191217	S132-sadness	0	MALE	FaceRecording-1	TestImage	AffRaw	20191217_193138474	240			4	1	640	490	4	0	34	0.007754469	2.160434E-06	0.1540237	0.01504086	4.680056	0	98.15299	128.4443	3.757868	2.135198	-0.982196	0.4606445	2.634761E-12	0.0007625841	7.847234E-05	0.003429386	0.01646021	0.08457126	0.01226166	0.0003777368	0.01635801	0.001423968	0.0181002	0.3143571	0.003937919	0.1954909	0.00332829	0.135741	0.5817943	0.01250938	2.744502E-05	0.02573672	0.0008638828	0.1841636						
CKbyEmotion	20191217	S132-sadness	0	MALE	FaceRecording-1	TestImage	AffRaw	20191217_193138514	280			4	1	640	490	5	0	34	0.01155451	4.459194E-06	0.1255804	0.01867507	3.248943	0	98.2399	130.1706	3.308651	1.889783	-1.887096	0.484046	7.274309E-12	0.0008302504	8.955157E-05	0.002675583	0.01459903	0.1052312	0.01227913	0.0002971684	0.01244114	0.001566168	0.01993752	0.3452578	0.003116171	0.1956404	0.003663067	0.1511074	0.3988732	0.009783932	2.433823E-05	0.02698975	0.0007591469	0.1846247						
CKbyEmotion	20191217	S132-sadness	0	MALE	FaceRecording-1	TestImage	AffRaw	20191217_193138554	320			4	1	640	490	6	0	34	0.01706759	6.497477E-06	0.1052353	0.01968942	2.010282	0	98.71521	128.9812	3.187776	0.291778	-1.523604	0.7053422	6.984732E-11	0.00114117	0.0001345	0.002594298	0.0164317	0.1208298	0.01419815	0.0002497142	0.01309856	0.00168889	0.02197274	0.3744248	0.002544271	0.1964805	0.003995019	0.1658098	0.2704844	0.007618889	3.105122E-05	0.0332243	0.0006720731	0.1750222						
CKbyEmotion	20191217	S132-sadness	0	MALE	FaceRecording-1	TestImage	AffRaw	20191217_193138594	360			4	1	640	490	7	0	34	0.02792243	1.000662E-05	0.09442411	0.0327619	1.250708	0	98.52468	129.6949	4.439068	0.9928343	-0.9465494	1.116077	1.273867E-10	0.001103969	0.0001281722	0.002331244	0.0128197	0.1283359	0.01872805	0.0002007709	0.01923303	0.001754283	0.02377799	0.3935118	0.002245614	0.1980078	0.004231943	0.1755476	0.1697188	0.006694979	3.200525E-05	0.04319413	0.0006183317	0.1753823						
CKbyEmotion	20191217	S132-sadness	0	MALE	FaceRecording-1	TestImage	AffRaw	20191217_193138634	400			4	1	640	490	8	0	34	0.04354035	1.526084E-05	0.08933154	0.05534252	0.8622593	0	98.39516	128.9579	3.706156	1.420196	-0.4545941	1.836803	8.136875E-11	0.002715887	0.0003454951	0.00235855	0.01614586	0.1225048	0.02748213	0.0001632541	0.02610153	0.001760375	0.02565046	0.4036659	0.002104942	0.2007245	0.004393711	0.1807799	0.1218656	0.006031462	3.253581E-05	0.05971928	0.0005778011	0.1914876						
CKbyEmotion	20191217	S132-sadness	0	MALE	FaceRecording-1	TestImage	AffRaw	20191217_193138674	440			4	1	640	490	9	0	34	0.07250962	2.172337E-05	0.08602266	0.09571221	0.5978199	0	98.07854	130.2773	4.142296	2.336555	-0.5366657	2.526631	1.156536E-10	0.006590385	0.0008961412	0.002513561	0.01716074	0.1387499	0.05161168	0.0001292824	0.04281976	0.001756613	0.02740656	0.4110176	0.002012576	0.2032847	0.004523111	0.1844938	0.08599143	0.004804048	3.238925E-05	0.07830473	0.0005471703	0.2032163						
