#Study : CKbyEmotion
#Date : 20191217 20:50:01
#Version : 7.2.15327.0
#TestRunDate : 20191217 18:05:03.358 (+02:00)

StudyName	ExportDate	Name	Age	Gender	StimulusName	SlideType	EventSource	Timestamp	MediaTime	PostMarker	Annotation	version	Number of faces	width	height	FrameIndex	faceid	#classifiers	Brow Furrow	Brow Raise	Engagement	Lip Corner Depressor	Smile	Valence	Attention	Interocular Distance	Pitch	Yaw	Roll	InnerBrowRaise	EyeClosure	NoseWrinkle	UpperLipRaise	LipSuck	LipPress	MouthOpen	ChinRaise	Smirk	LipPucker	Anger	Sadness	Disgust	Joy	Surprise	Fear	Contempt	Cheek Raise	Dimpler	Eye Widen	Lid Tighten	Lip Stretch	Jaw Drop	LiveMarker	KeyStroke	MarkerText	SceneType	SceneOutput	SceneParent
CKbyEmotion	20191217	S501-fear	0	MALE	FaceRecording-1	TestImage	AffRaw	20191217_180503438	80			4	1	720	480	0	0	34	0.05923288	0.01928074	0.07965421	0.001881405	0.001608833	0	92.86611	182.8237	-3.43276	9.168489	4.019489	0.3652933	6.466499E-12	0.001380912	0.0005647643	0.0004906381	0.01622962	0.05869089	0.05112908	0.0003057106	0.0146175	0.05238368	0.000922647	0.426388	0.001823283	0.5189279	46.56215	0.1928702	3.070301E-05	0.004870817	98.58329	0.001964482	0.001393173	0.1013134						
CKbyEmotion	20191217	S501-fear	0	MALE	FaceRecording-1	TestImage	AffRaw	20191217_180503478	120			4	1	720	480	1	0	34	0.4093939	0.03274838	0.08198665	0.01030109	0.004923458	0	96.53867	186.7808	-7.868275	5.358544	4.040343	0.3582784	4.998829E-12	0.04740454	0.02196947	0.0007136045	0.01863633	0.1129215	0.05017075	0.0004966501	0.01365312	0.05356222	0.0009505876	0.4288505	0.001783908	0.5088071	46.31433	0.1940939	0.000245064	0.005452778	98.39613	0.002016605	0.001319838	0.1610406						
CKbyEmotion	20191217	S501-fear	0	MALE	FaceRecording-1	TestImage	AffRaw	20191217_180503518	160			4	1	720	480	2	0	34	1.020785	0.01512652	0.08572993	0.01372879	0.01357008	0	96.35367	185.1229	-7.716947	5.628484	3.957952	0.5769561	5.84632E-12	0.2072893	0.1157058	0.0007154464	0.02344215	0.1270891	0.06388757	0.0005426165	0.01217011	0.05496578	0.001028083	0.4365648	0.00171779	0.489691	45.53218	0.1962013	0.001032349	0.01070095	97.8399	0.00242062	0.001488521	0.1566862						
CKbyEmotion	20191217	S501-fear	0	MALE	FaceRecording-1	TestImage	AffRaw	20191217_180503558	200			4	1	720	480	3	0	34	0.7734638	0.05179879	0.0843807	0.008583785	0.01050609	0	95.75794	187.4653	-7.767437	6.416134	4.209955	0.6357709	1.66684E-12	0.1847715	0.1261198	0.0006086531	0.02546092	0.15214	0.0709433	0.0003523805	0.0144183	0.05465348	0.0009931144	0.4361583	0.00174365	0.5011696	46.71839	0.1953362	0.0009736562	0.01182195	98.38798	0.002973719	0.001811744	0.1231338						
CKbyEmotion	20191217	S501-fear	0	MALE	FaceRecording-1	TestImage	AffRaw	20191217_180503598	240			4	1	720	480	4	0	34	1.748447	0.08695617	0.090392	0.01343452	0.009535871	0	96.07004	185.7212	-7.16705	6.017758	4.810229	0.7510916	4.332218E-13	0.2125633	0.1656779	0.0005993552	0.0255358	0.1414351	0.07426264	0.0002841962	0.01083897	0.0565591	0.001121979	0.4379113	0.001633395	0.4687668	44.45285	0.1989458	0.001105673	0.008075667	97.14209	0.002860603	0.001746168	0.1229475						
CKbyEmotion	20191217	S501-fear	0	MALE	FaceRecording-1	TestImage	AffRaw	20191217_180503638	280			4	1	720	480	5	0	34	2.878555	0.1049491	0.09790695	0.01597825	0.007989403	0	95.57993	185.6839	-6.11479	6.630957	3.637895	1.059633	1.113099E-12	0.1977708	0.1398166	0.0006490753	0.02621646	0.1304438	0.1008908	0.000233935	0.0147656	0.06401306	0.001197937	0.4368295	0.001515354	0.4464248	48.47976	0.2032201	0.0009802553	0.008181425	98.33882	0.003631641	0.001875894	0.1221819						
CKbyEmotion	20191217	S501-fear	0	MALE	FaceRecording-1	TestImage	AffRaw	20191217_180503678	320			4	1	720	480	6	0	34	5.844182	0.2215584	0.1208969	0.01658828	0.004996106	0	95.53349	186.1177	-6.972674	6.685665	4.237107	1.700152	1.361214E-12	0.1457848	0.1025159	0.0007373746	0.02408077	0.1209253	0.1208805	0.0002509955	0.0141659	0.08212724	0.001514116	0.4341784	0.001242417	0.3840683	53.26511	0.214864	0.00075351	0.006742917	99.19501	0.004537441	0.001674923	0.116974						
CKbyEmotion	20191217	S501-fear	0	MALE	FaceRecording-1	TestImage	AffRaw	20191217_180503718	360			4	1	720	480	7	0	34	7.118699	0.5425518	0.1324079	0.01778753	0.003775349	0	95.1186	184.3976	-5.697966	7.151536	4.270298	2.94567	2.342368E-12	0.1859805	0.1247941	0.0008511672	0.02069974	0.118258	0.1213126	0.0002879507	0.01524841	0.08738205	0.001772436	0.4361473	0.001130752	0.3721338	55.56575	0.2200699	0.0005288584	0.006151066	99.59485	0.004903843	0.00157641	0.1116015						
CKbyEmotion	20191217	S501-fear	0	MALE	FaceRecording-1	TestImage	AffRaw	20191217_180503758	400			4	1	720	480	8	0	34	10.60388	1.312378	0.1696834	0.02236947	0.002661015	0	96.21451	185.6892	-5.730421	5.822983	4.054456	4.3038	7.078097E-12	0.07435725	0.0464796	0.0008809447	0.0188565	0.1140169	0.1103792	0.0002486247	0.01513434	0.1082473	0.002453307	0.4304419	0.000877491	0.3232686	58.92109	0.2349149	0.0003555327	0.005298153	99.83355	0.005512875	0.001278351	0.1073965						
CKbyEmotion	20191217	S501-fear	0	MALE	FaceRecording-1	TestImage	AffRaw	20191217_180503798	440			4	1	720	480	9	0	34	13.98953	1.303997	0.2158885	0.0222501	0.002162361	0	95.718	186.3251	-6.410462	6.465065	4.830924	5.854702	3.227697E-12	0.03099639	0.01519207	0.0008529638	0.0210046	0.1064424	0.1064277	0.0002670627	0.01336994	0.1364556	0.003504671	0.428171	0.000703113	0.2721688	62.32401	0.2502823	0.0002687761	0.006072745	99.86665	0.005888978	0.001221993	0.0986316						
