#Study : CKbyEmotion
#Date : 20191217 20:50:02
#Version : 7.2.15327.0
#TestRunDate : 20191217 17:32:55.026 (+02:00)

StudyName	ExportDate	Name	Age	Gender	StimulusName	SlideType	EventSource	Timestamp	MediaTime	PostMarker	Annotation	version	Number of faces	width	height	FrameIndex	faceid	#classifiers	Brow Furrow	Brow Raise	Engagement	Lip Corner Depressor	Smile	Valence	Attention	Interocular Distance	Pitch	Yaw	Roll	InnerBrowRaise	EyeClosure	NoseWrinkle	UpperLipRaise	LipSuck	LipPress	MouthOpen	ChinRaise	Smirk	LipPucker	Anger	Sadness	Disgust	Joy	Surprise	Fear	Contempt	Cheek Raise	Dimpler	Eye Widen	Lid Tighten	Lip Stretch	Jaw Drop	LiveMarker	KeyStroke	MarkerText	SceneType	SceneOutput	SceneParent
CKbyEmotion	20191217	S032-disgust	0	MALE	FaceRecording-1	TestImage	AffRaw	20191217_173255106	80			4	1	640	490	0	0	34	89.71663	3.058114E-08	40.58241	0.004132838	2.961504E-05	-17.93837	93.60839	112.91	4.238179	8.579332	3.217068	0.08841521	2.338443E-09	0.0004192329	1.37009E-06	0.03516259	0.01129552	0.3443501	4.945787	3.420496E-05	0.01607043	3.971613	16.53911	0.4278654	5.183571E-06	0.0008991132	0.09236325	1.0274	1.981455E-07	0.006463608	0.2342179	2.660597	0.001681353	0.05080647						
CKbyEmotion	20191217	S032-disgust	0	MALE	FaceRecording-1	TestImage	AffRaw	20191217_173255146	120			4	1	640	490	1	0	34	95.09941	3.87685E-08	48.06149	0.003652915	4.010825E-05	-19.52264	92.37372	113.1063	2.195922	9.528787	4.568298	0.09542061	1.270386E-09	0.001369228	4.75977E-06	0.3745024	0.01800448	0.4817565	3.814466	8.239551E-05	0.01501585	5.972466	22.68315	0.4219606	3.653433E-06	0.0006534876	0.111019	1.135272	3.960252E-07	0.02901988	0.2778987	2.521337	0.002476269	0.04417114						
CKbyEmotion	20191217	S032-disgust	0	MALE	FaceRecording-1	TestImage	AffRaw	20191217_173255186	160			4	1	640	490	2	0	34	95.79095	3.844223E-08	50.04844	0.00552076	3.630001E-05	-19.92817	93.31503	112.3538	4.616015	8.8194	3.807595	0.09111467	1.238015E-08	0.001413647	6.067055E-06	0.4382062	0.01966494	0.9464201	4.236171	4.62194E-05	0.01077902	6.517768	22.98038	0.4241523	3.521369E-06	0.00063756	0.1199855	1.149914	3.731534E-07	0.01850997	0.8231499	2.594223	0.002753876	0.03582918						
CKbyEmotion	20191217	S032-disgust	0	MALE	FaceRecording-1	TestImage	AffRaw	20191217_173255226	200			4	1	640	490	3	0	34	91.23029	7.201103E-08	41.2589	0.004856925	4.139705E-05	-18.22008	93.63351	112.4573	4.417812	8.558293	4.041458	0.08444114	4.956175E-08	0.001240841	6.225103E-06	0.4419094	0.03257003	0.6564022	3.823894	5.03988E-05	0.01248449	4.62245	17.18958	0.4218463	4.721343E-06	0.0008396295	0.1126458	1.056665	3.865828E-07	0.03678863	1.714472	2.389668	0.004294442	0.04312895						
CKbyEmotion	20191217	S032-disgust	0	MALE	FaceRecording-1	TestImage	AffRaw	20191217_173255266	240			4	1	640	490	4	0	34	89.81538	8.454586E-08	39.06314	0.004750211	3.739998E-05	-17.86461	93.41824	112.3231	3.981141	8.73608	5.070284	0.06771904	1.789282E-08	0.00109258	5.778712E-06	0.7053639	0.0324823	0.5120519	3.959393	5.48007E-05	0.01012289	4.29704	15.41623	0.4153711	5.165914E-06	0.0009166979	0.1152076	1.029286	3.381948E-07	0.04306324	2.412204	2.520232	0.004123064	0.03760156						
CKbyEmotion	20191217	S032-disgust	0	MALE	FaceRecording-1	TestImage	AffRaw	20191217_173255306	280			4	1	640	490	5	0	34	93.8069	6.07366E-08	47.31433	0.007094901	3.461929E-05	-19.76756	93.96207	112.5314	4.72723	8.275848	4.016875	0.07645809	1.438214E-08	0.001071225	5.065164E-06	1.502785	0.03230002	0.6352467	4.687679	5.469011E-05	0.00991881	6.338321	19.25578	0.4004063	3.987069E-06	0.0007268502	0.137127	1.108388	3.303529E-07	0.06121394	2.825166	2.768629	0.004689256	0.03992927						
CKbyEmotion	20191217	S032-disgust	0	MALE	FaceRecording-1	TestImage	AffRaw	20191217_173255346	320			4	1	640	490	6	0	34	96.34499	4.698968E-08	54.35588	0.01109317	4.183808E-05	-21.00481	92.87685	112.4363	3.322025	9.16038	4.564467	0.05009624	6.249343E-08	0.001281092	5.789567E-06	1.149291	0.04789986	0.8190644	6.100498	5.437854E-05	0.009185407	8.012394	22.16846	0.408807	3.388109E-06	0.0006287444	0.1539402	1.161783	4.424879E-07	0.04742079	3.143286	4.166366	0.004078039	0.04194507						
CKbyEmotion	20191217	S032-disgust	0	MALE	FaceRecording-1	TestImage	AffRaw	20191217_173255386	360			4	1	640	490	7	0	34	97.99556	4.993542E-08	58.22739	0.01752706	5.585407E-05	-21.88615	92.62068	113.9473	2.362175	9.350845	4.701501	0.04230548	5.234817E-07	0.003116834	1.478982E-05	1.446021	0.09852885	0.9726046	6.654045	5.490741E-05	0.009753443	9.700361	23.47016	0.4041569	3.049654E-06	0.0005782791	0.1824961	1.197861	7.342142E-07	0.05912314	4.301306	6.040491	0.005589681	0.04705052						
CKbyEmotion	20191217	S032-disgust	0	MALE	FaceRecording-1	TestImage	AffRaw	20191217_173255426	400			4	1	640	490	8	0	34	98.93251	3.860698E-08	60.34067	0.02665986	6.640411E-05	-22.43582	93.2859	112.6452	2.520204	8.842699	4.49223	0.04153639	2.859638E-06	0.005129442	2.703881E-05	1.788812	0.1036846	2.365732	6.943007	5.80408E-05	0.01119974	10.91746	23.31454	0.4077292	2.941827E-06	0.0005707614	0.203944	1.218832	1.018953E-06	0.06094415	5.108128	8.075333	0.005625322	0.05957244						
CKbyEmotion	20191217	S032-disgust	0	MALE	FaceRecording-1	TestImage	AffRaw	20191217_173255466	440			4	1	640	490	9	0	34	98.8709	2.346925E-08	61.94386	0.03955062	0.0001101042	-22.65064	94.59243	114.0841	-2.223357	7.691116	4.786833	0.03362892	2.97972E-05	0.01174478	7.67284E-05	1.480349	0.05862617	4.290934	7.949419	4.79637E-05	0.01364937	12.87782	21.93155	0.4289723	3.058958E-06	0.0006046219	0.2129615	1.217437	1.770531E-06	0.043932	5.585588	10.81326	0.005436423	0.1190284						
CKbyEmotion	20191217	S032-disgust	0	MALE	FaceRecording-1	TestImage	AffRaw	20191217_173255506	480			4	1	640	490	10	0	34	99.25523	1.278435E-08	70.56332	0.04485986	0.0001351383	-22.67066	94.1068	112.2177	-3.404788	8.14685	5.499101	0.02665427	3.043324E-05	0.04829619	0.0003944096	1.356928	0.04292668	12.98453	7.69563	5.460922E-05	0.01312914	20.10249	18.481	0.5071654	3.493792E-06	0.0007262343	0.1879472	1.226132	2.587196E-06	0.02974141	4.249314	15.0093	0.004514897	0.2436939						
CKbyEmotion	20191217	S032-disgust	0	MALE	FaceRecording-1	TestImage	AffRaw	20191217_173255546	520			4	1	640	490	11	0	34	99.46302	8.97031E-09	89.33578	0.05286388	0.0001911494	-22.76713	93.67402	112.6473	-2.045526	8.524215	3.941847	0.02578382	0.0001806373	0.2588009	0.002884777	1.49396	0.04416708	30.29408	7.257374	5.62542E-05	0.01559966	37.90347	11.51617	0.7030872	4.721451E-06	0.001108797	0.1827401	1.230855	4.269024E-06	0.02833021	3.991525	20.8477	0.004537701	0.5180227						
CKbyEmotion	20191217	S032-disgust	0	MALE	FaceRecording-1	TestImage	AffRaw	20191217_173255586	560			4	1	640	490	12	0	34	99.52707	6.968106E-09	96.36399	0.05873868	0.0002808814	-23.37782	93.2115	112.0136	-0.6564153	8.901797	4.412073	0.02585728	0.0004860722	1.391781	0.02360195	1.738114	0.04032299	46.3544	6.791713	5.971604E-05	0.01463288	58.65788	7.235815	1.030691	6.296177E-06	0.001657452	0.1680799	1.232308	7.068863E-06	0.0288841	3.318023	26.90401	0.004945801	1.071979						
